id,word,pinyin,definition,definition_th,level,example_sentence,example_pinyin
1896,联合,lián hé,"to unite, to join together, alliance","ร่วมกัน, รวมตัวกัน, สหภาพ",3,我们联合起来学习。,wǒ men lián hé qǐ lái xué xí.
1897,领,lǐng,to lead; to receive; collar; classifier for clothes,"นำ, รับ, คอเสื้อ, หน่วยนับสำหรับเสื้อผ้า",3,他领我去学校。,tā lǐng wǒ qù xuéxiào.
1898,领先,lǐng xiān,to be in the lead; to be ahead,นำหน้า; อยู่ข้างหน้า,3,我们队领先三分。,wǒ men duì lǐng xiān sān fēn.
1899,留学,liú xué,to study abroad,ไปเรียนต่อต่างประเทศ,3,我想去美国留学。,Wǒ xiǎng qù Měiguó liú xué.
1900,另一方面,lìng yī fāng miàn,on the other hand; another aspect,ในอีกด้านหนึ่ง; อีกแง่มุมหนึ่ง,3,我喜欢看书，另一方面也喜欢运动。,"Wǒ xǐhuan kàn shū, lìng yī fāng miàn yě xǐhuan yùndòng."
1901,录,"Lù, lù","to record, to copy","บันทึก, อัดเสียง, คัดลอก",3,我录了你的声音。,Wǒ lù le nǐ de shēngyīn.
1902,旅馆,lǚ guǎn,hotel,โรงแรม,3,我们住在旅馆里。,Wǒmen zhù zài lǚguǎn lǐ.
1903,录音,lù yīn,"to record (audio), sound recording","บันทึกเสียง, การบันทึกเสียง",3,我在录音。,Wǒ zài lù yīn.
1904,绿茶,lǜ chá,green tea,ชาเขียว,3,我喜欢喝绿茶。,Wǒ xǐhuan hē lǜ chá.
1905,麻烦,má fan,troublesome; inconvenient; to trouble someone,ยุ่งยาก; ไม่สะดวก; ทำให้ยุ่งยาก,3,请别麻烦他。,Qǐng bié má fan tā.
1906,满足,mǎn zú,to satisfy; to meet (needs); satisfied; content,พอใจ; ทำให้พอใจ; ตอบสนอง (ความต้องการ),3,这个答案让我很满足。,Zhè ge dá'àn ràng wǒ hěn mǎn zú.
1907,慢慢,màn màn,slowly,อย่างช้า ๆ,3,请慢慢走。,qǐng màn màn zǒu.
1908,马,"Mǎ, mǎ",horse,ม้า,3,我喜欢马。,Wǒ xǐhuān mǎ.
1909,没用,méi yòng,useless; ineffective; of no use,ไร้ประโยชน์; ไม่มีประโยชน์; ไม่ได้ผล,3,这个办法没用。,Zhège bànfǎ méi yòng.
1910,毛病,máo bìng,"fault, defect, problem, shortcoming","ข้อบกพร่อง, ความผิดพลาด, ปัญหา",3,我的电脑有毛病。,Wǒ de diànnǎo yǒu máobìng.
1911,每,měi,"each, every","แต่ละ, ทุก",3,我每天喝牛奶。,Wǒ měitiān hē niúnǎi.
1912,美,"Měi, měi","beautiful, pretty, good, satisfactory","สวย, งาม, ดี, น่าพอใจ",3,这个公园很美。,Zhège gōngyuán hěn měi.
1913,美丽,měi lì,beautiful,สวยงาม,3,她的笑容很美丽。,Tā de xiào róng hěn měi lì.
1914,美元,Měi yuán,US dollar,ดอลลาร์สหรัฐ,3,我有一百美元。,Wǒ yǒu yī bǎi Měi yuán.
1915,美术,měi shù,"art, fine arts","ศิลปะ, ศิลปกรรม",3,我喜欢美术课。,Wǒ xǐhuān měishù kè.
1916,面对,miàn duì,"to face, to confront","เผชิญหน้า, เผชิญ",3,我们要面对困难。,Wǒmen yào miàn duì kùnnán.
1917,民族,mín zú,ethnic group; nationality,กลุ่มชาติพันธุ์; เชื้อชาติ,3,中国有56个民族。,Zhōngguó yǒu wǔshíliù gè mínzú.
1918,面积,miàn jī,"area, surface area","พื้นที่, ขนาดพื้นที่",3,这个房间的面积很大。,zhè ge fáng jiān de miàn jī hěn dà.
1919,命运,mìng yùn,fate; destiny,โชคชะตา; ชะตากรรม,3,命运掌握在自己手中。,mìng yùn zhǎng wò zài zì jǐ shǒu zhōng.
1920,明显,míng xiǎn,"clear, obvious, distinct","ชัดเจน, เห็นได้ชัด, เด่นชัด",3,这个区别很明显。,zhè ge qū bié hěn míng xiǎn.
1921,目标,mù biāo,"goal, objective, target","เป้าหมาย, จุดหมาย",3,我的目标是学好中文。,Wǒ de mùbiāo shì xué hǎo Zhōngwén.
1922,某,mǒu,"a certain; some; indefinite (referring to an unspecified person, thing, or time)",บาง; ใดๆ (ใช้ระบุบุคคล สิ่งของ หรือเวลาที่ไม่เจาะจง),3,某天我去学校。,Mǒu tiān wǒ qù xuéxiào.
1923,男子,nán zǐ,"a man, a male","ผู้ชาย, ชาย",3,那个男子很高。,nà ge nán zǐ hěn gāo.
1924,南部,nán bù,southern part,ส่วนใต้,3,中国南部很热。,Zhōngguó nánbù hěn rè.
1925,难度,nán dù,"difficulty, level of difficulty","ความยาก, ระดับความยาก",3,这个考试难度很大。,zhè ge kǎo shì nán dù hěn dà.
1926,内心,nèi xīn,"inner heart, innermost feelings","จิตใจภายใน, ความรู้สึกภายใน",3,她内心很高兴。,tā nèi xīn hěn gāo xìng.
1927,年代,nián dài,"a period of time, era, decade, or age","ช่วงเวลา, ยุคสมัย, ทศวรรษ, หรือช่วงอายุ",3,这个年代很特别。,zhè ge nián dài hěn tè bié.
1928,内容,nèi róng,"content, substance, details","เนื้อหา, สาระ, รายละเอียด",3,这本书的内容很好。,zhè běn shū de nèi róng hěn hǎo.
1929,能不能,néng bùnéng,Can you / Are you able to,คุณสามารถ...ได้ไหม / คุณทำ...ได้ไหม,3,你能不能来？,Nǐ néng bùnéng lái?
1930,年纪,nián jì,age,อายุ,3,他的年纪不大。,tā de nián jì bù dà.
1931,农民,nóng mín,farmer,"ชาวนา, เกษตรกร",3,农民在田里工作。,Nóng mín zài tián lǐ gōng zuò.
1932,农业,nóng yè,agriculture,เกษตรกรรม,3,农业很重要。,Nóng yè hěn zhòng yào.
1933,女子,nǔ zǐ,"woman, female","ผู้หญิง, หญิง",3,那个女子很漂亮。,nà ge nǔ zǐ hěn piào liang.
1934,农村,nóng cūn,"rural area, countryside, village","พื้นที่ชนบท, หมู่บ้าน",3,我爷爷住在农村。,Wǒ yéye zhù zài nóngcūn.
1935,暖和,nuǎn huo,warm,อบอุ่น,3,今天天气很暖和。,jīn tiān tiān qì hěn nuǎn huo.
1936,拍,pāi,to pat; to clap; to slap; to swat; to take (a photo); to shoot (a film); racket (sports); beat (music),ตบ; ปรบมือ; ตี; หวด; ถ่าย (รูป); ถ่ายทำ (ภาพยนตร์); ไม้ตี (กีฬา); จังหวะ (ดนตรี),3,他喜欢拍照片。,Tā xǐhuān pāi zhàopiàn.
1937,牌子,pái zi,brand; trademark; sign,ตราสินค้า; เครื่องหมายการค้า; ป้าย,3,这个牌子很好。,Zhè ge pái zi hěn hǎo.
1938,判断,pàn duàn,to judge; to determine; judgment,ตัดสิน; พิจารณา; การตัดสิน,3,我判断他是对的。,wǒ pàn duàn tā shì duì de.
1939,胖,"pán, pàng","fat, plump",อ้วน,3,这只猫很胖。,Zhè zhī māo hěn pàng.
1940,跑步,pǎo bù,to run; to jog,วิ่ง; วิ่งเหยาะๆ,3,我每天跑步锻炼。,wǒ měi tiān pǎo bù duàn liàn.
1941,批评,pī píng,to criticize; criticism,วิจารณ์; การวิจารณ์,3,老师批评学生。,lǎo shī pī píng xué sheng.
1942,配,pèi,"to match, to go well with, to pair, to mix, to deserve","จับคู่, เข้ากันได้ดี, ผสม, คู่ควร",3,这个颜色配得很好。,Zhège yánsè pèi de hěn hǎo.
1943,批准,pī zhǔn,"to approve, to authorize","อนุมัติ, อนุญาต",3,老师批准了我的请假。,lǎo shī pī zhǔn le wǒ de qǐng jià.
1944,啤酒,pí jiǔ,beer,เบียร์,3,我喜欢喝啤酒。,wǒ xǐ huān hē pí jiǔ.
1945,皮,"Pí, pí","skin, peel, leather, fur","ผิวหนัง, เปลือก, หนังสัตว์",3,这个苹果皮很红。,Zhège píngguǒ pí hěn hóng.
1946,票价,piào jià,"ticket price, fare, admission fee","ราคาตั๋ว, ค่าโดยสาร, ค่าผ่านประตู",3,票价很便宜。,piào jià hěn pián yi.
1947,苹果,píng guǒ,apple,แอปเปิล,3,我喜欢吃苹果。,Wǒ xǐhuān chī píngguǒ.
1948,普遍,pǔ biàn,"widespread, common, universal","แพร่หลาย, ทั่วไป, เป็นที่นิยม",3,这个问题很普遍。,zhè ge wèn tí hěn pǔ biàn.
1949,其实,qí shí,"actually, in fact","ที่จริงแล้ว, จริงๆ แล้ว",3,其实我很喜欢他。,qí shí wǒ hěn xǐ huān tā.
1950,其次,qí cì,secondly; next; then,ต่อมา; ประการที่สอง,3,首先学习，其次休息。,"shǒu xiān xué xí, qí cì xiū xi."
1951,破,pò,broken; damaged; to break; to damage; to expose (the truth),แตก; เสียหาย; ทำให้แตก; ทำให้เสียหาย; เปิดเผย (ความจริง),3,我的杯子破了。,Wǒ de bēizi pò le.
1952,齐,"Qí, qí","neat, even, level, identical, simultaneous, all together, to make even","เรียบร้อย, เสมอกัน, ระดับเดียวกัน, เหมือนกัน, พร้อมกัน, รวมกันทั้งหมด, ทำให้เสมอกัน",3,大家排队要整齐。,Dàjiā páiduì yào zhěngqí.
1953,千万,qiān wàn,ten million; countless; many; must; by all means,สิบล้าน; นับไม่ถ้วน; มากมาย; ต้อง; โดยทุกวิถีทาง,3,你千万别迟到。,Nǐ qiān wàn bié chí dào.
1954,前进,qián jìn,"to advance, to move forward","เดินหน้า, ก้าวหน้า",3,我们继续前进。,wǒ men jì xù qián jìn.
1955,前后,qián hòu,around; from beginning to end; all around; front and back,รอบ ๆ; จากต้นจนจบ; ทุกด้าน; หน้าและหลัง,3,我前后看了三次。,Wǒ qián hòu kàn le sān cì.
1956,强大,qiáng dà,"powerful, strong, formidable","แข็งแกร่ง, มีอำนาจ, มีพลัง",3,我们的国家很强大。,wǒ men de guó jiā hěn qiáng dà.
1957,前面,qián miàn,in front; ahead; the front part,ด้านหน้า; ข้างหน้า; ส่วนหน้า,3,前面有一个公园。,qián miàn yǒu yī gè gōng yuán.
1958,强烈,qiáng liè,"intense, strong, powerful","รุนแรง, แรงกล้า, มีพลังมาก",3,他的建议很强烈。,Tā de jiànyì hěn qiángliè.
1959,强调,qiáng diào,to emphasize; to stress,เน้นย้ำ; กล่าวย้ำเพื่อให้เห็นความสำคัญ,3,老师强调学习很重要。,lǎo shī qiáng diào xué xí hěn zhòng yào.
1960,桥,qiáo,bridge,สะพาน,3,这座桥很漂亮。,Zhè zuò qiáo hěn piàoliang.
1961,亲切,qīn qiè,"warm, friendly, kind, cordial","อบอุ่น, เป็นมิตร, ใจดี",3,老师很亲切。,lǎo shī hěn qīn qiè.
1962,亲自,qīn zì,personally; in person; oneself,ด้วยตนเอง; ไปด้วยตนเอง,3,他亲自去学校。,tā qīn zì qù xué xiào.
1963,亲人,qīn rén,close relatives,ญาติสนิท,3,我的亲人都在北京。,Wǒ de qīn rén dōu zài Běijīng.
1964,亲,"qīn, qìng",parents-in-law of one's offspring; also used as a general term for relatives or close relationships,พ่อแม่ของลูกสะใภ้หรือลูกเขย; ใช้เรียกญาติหรือความสัมพันธ์ที่ใกล้ชิด,3,他是我的亲人。,Tā shì wǒ de qīnrén.
1965,取消,qǔ xiāo,to cancel,ยกเลิก,3,我们取消了明天的会议。,Wǒmen qǔxiāo le míngtiān de huìyì.
1966,庆祝,qìng zhù,to celebrate,ฉลอง,3,我们庆祝生日。,wǒ men qìng zhù shēng rì.
1967,区,"Ōu, qū","area, region, district","พื้นที่, เขต, อำเภอ",3,我家在这个区。,Wǒ jiā zài zhège qū.
1968,全球,quán qiú,global; worldwide; the whole world,ทั่วโลก; ทั่วทั้งโลก; ระดับโลก,3,全球有很多国家。,Quán qiú yǒu hěn duō guó jiā.
1969,缺点,quē diǎn,"shortcoming, disadvantage, flaw","ข้อด้อย, ข้อเสีย, จุดอ่อน",3,他的缺点是太忙。,tā de quē diǎn shì tài máng.
1970,缺,quē,to lack; to be short of; deficiency,"ขาด, ไม่พอ, ขาดแคลน",3,我们缺少水。,Wǒmen quēshǎo shuǐ.
1971,全面,quán miàn,"comprehensive, all-around, overall","รอบด้าน, ครอบคลุมทั้งหมด, โดยรวม",3,我们需要全面的计划。,Wǒmen xūyào quánmiàn de jìhuà.
1972,确保,què bǎo,"to ensure, to guarantee","รับประกัน, ทำให้แน่ใจ",3,确保大家安全。,què bǎo dà jiā ān quán.
1973,群,qún,group; crowd; flock; herd; pack,กลุ่ม; ฝูง; หมู่,3,一群小鸟在飞。,Yī qún xiǎo niǎo zài fēi.
1974,确实,què shí,"indeed, really, truly","แน่นอน, จริงๆ, แท้จริง",3,他确实很聪明。,tā què shí hěn cōng míng.
1975,裙子,qún zi,skirt,กระโปรง,3,她穿了一条红裙子。,Tā chuān le yī tiáo hóng qún zi.
1976,热烈,rè liè,"warm, enthusiastic, fervent","อบอุ่น, กระตือรือร้น, เร่าร้อน",3,我们热烈欢迎你。,Wǒmen rèliè huānyíng nǐ.
1977,人才,rén cái,talent; talented person,ความสามารถ; คนที่มีความสามารถ,3,他是公司的人才。,Tā shì gōngsī de réncái.
1978,热爱,rè ài,to love passionately; to have deep affection for,รักอย่างลึกซึ้ง; ชื่นชอบอย่างมาก,3,他热爱学习汉语。,tā rè ài xué xí hàn yǔ.
1979,人工,rén gōng,artificial; man-made; manual labor,ที่ทำขึ้นโดยมนุษย์; ที่ไม่ใช่ธรรมชาติ; แรงงานมนุษย์,3,这是人工做的。,Zhè shì réngōng zuò de.
1980,人生,rén shēng,life (human existence or experience),ชีวิต (การดำรงอยู่หรือประสบการณ์ของมนุษย์),3,人生很美好。,rén shēng hěn měi hǎo.
1981,认得,rèn de,"to recognize, to know by sight","จำได้, รู้จัก (จากการเห็น)",3,我认得这个字。,wǒ rèn de zhè ge zì.
1982,人员,rén yuán,"personnel, staff, crew","บุคลากร, พนักงาน, เจ้าหน้าที่",3,公司人员很多。,gōng sī rén yuán hěn duō.
1983,任何,rèn hé,"any, whatever, whichever","ใด ๆ, อะไรก็ตาม, อันไหนก็ได้",3,任何问题都可以问我。,rèn hé wèn tí dōu kě yǐ wèn wǒ.
1984,仍然,réng rán,still; yet; as before,ยัง; ยังคง; เหมือนเดิม,3,他仍然在学习。,tā réng rán zài xué xí.
1985,仍,réng,"still, yet, remains","ยัง, ยังคง",3,他仍在这里。,Tā réng zài zhèlǐ.
1986,任务,rèn wu,"task, mission, assignment","ภารกิจ, งานที่ได้รับมอบหมาย",3,我的任务完成了。,wǒ de rèn wu wán chéng le.
1987,日常,rì cháng,"daily, everyday","ประจำวัน, ทุกวัน",3,我每天做日常的事情。,Wǒ měi tiān zuò rì cháng de shì qing.
1988,如何,rú hé,how; in what way,อย่างไร; ด้วยวิธีใด,3,你如何回家？,nǐ rú hé huí jiā?
1989,容易,róng yì,easy; likely; prone to,ง่าย; มีแนวโน้ม; มีโอกาส,3,这个问题很容易。,zhè ge wèn tí hěn róng yì
1990,伤,shāng,to injure; injury; wound,บาดเจ็บ; การบาดเจ็บ; แผล,3,他受伤了。,Tā shòu shāng le.
1991,伤心,shāng xīn,to feel sad or heartbroken,รู้สึกเศร้าใจหรืออกหัก,3,小狗丢了，他很伤心。,"Xiǎo gǒu diū le, tā hěn shāng xīn."
1992,商品,shāng pǐn,"goods, merchandise, product",สินค้า,3,这个商品很便宜。,Zhège shāngpǐn hěn piányi.
1993,上面,shàng mian,on top of; above; the upper part,ด้านบน; บน; ส่วนบน,3,书在桌子上面。,Shū zài zhuōzi shàng mian.
1994,上来,shàng lái,to come up; to approach (used as a verb complement indicating upward movement or success),ขึ้นมา; เข้ามา (ใช้เป็นส่วนเสริมกริยาแสดงการเคลื่อนที่ขึ้นหรือความสำเร็จ),3,请把书拿上来。,Qǐng bǎ shū ná shàng lái.
1995,沙子,shā zi,sand,ทราย,3,沙滩上有沙子。,shā tān shàng yǒu shā zi.
1996,设立,shè lì,"to establish, to set up","จัดตั้ง, สร้างขึ้น",3,公司设立了新部门。,Gōngsī shèlì le xīn bùmén.
1997,上衣,shàng yī,"upper garment, top (clothing)","เสื้อส่วนบน, เสื้อ (ส่วนบนของชุด)",3,这件上衣很漂亮。,zhè jiàn shàng yī hěn piào liang.
1998,深,shēn,deep; profound; (of color) dark; intense,ลึก; ลึกล้ำ; (สี) เข้ม; ลึกซึ้ง,3,这条河很深。,Zhè tiáo hé hěn shēn.
1999,深入,shēn rù,to go deep into; to understand thoroughly; in-depth,เจาะลึก; เข้าใจอย่างลึกซึ้ง,3,我们要深入理解这个问题。,Wǒmen yào shēn rù lǐjiě zhège wèntí.
2000,生存,shēng cún,to survive; existence,การอยู่รอด; การดำรงชีวิต,3,水对生存很重要。,shuǐ duì shēng cún hěn zhòng yào.
2001,生动,shēng dòng,"vivid, lively","มีชีวิตชีวา, น่าสนใจ",3,这个故事很生动。,Zhè ge gùshi hěn shēngdòng.
2002,生意,"shēng yì, shēng yi","business, trade, commerce","ธุรกิจ, การค้า",3,他的生意很好。,tā de shēng yì hěn hǎo.
2003,胜利,shèng lì,victory,ชัยชนะ,3,我们胜利了！,wǒ men shèng lì le!
2004,生长,shēng zhǎng,to grow (as in plants or living organisms),เติบโต (เช่น พืชหรือสิ่งมีชีวิต),3,植物在春天生长。,zhí wù zài chūn tiān shēng zhǎng.
2005,石头,shí tou,"stone, rock",หิน,3,这块石头很重。,zhè kuài shí tou hěn zhòng.
2006,声明,shēng míng,"to declare, to state; a declaration, a statement","ประกาศ, แถลง; การประกาศ, การแถลง",3,他声明了自己的想法。,tā shēng míng le zì jǐ de xiǎng fǎ.
2007,石油,shí yóu,"petroleum, crude oil","น้ำมันปิโตรเลียม, น้ำมันดิบ",3,石油很重要。,Shí yóu hěn zhòng yào.
2008,失去,shī qù,to lose,สูญเสีย,3,我失去了我的书。,wǒ shī qù le wǒ de shū.
2009,时代,"Shí dài, shí dài","era, age, period","ยุคสมัย, สมัย, ยุค",3,这是我们的时代。,Zhè shì wǒmen de shídài.
2010,时,"shí, Shí",time; hour; season; surname Shi,เวลา; ชั่วโมง; ฤดูกาล; นามสกุล ชื่อสกุล,3,现在是十时。,Xiànzài shì shí shí.
2011,实行,shí xíng,to implement; to carry out; to put into practice,ดำเนินการ; นำไปปฏิบัติ; ใช้จริง,3,我们实行新计划。,wǒ men shí xíng xīn jì huà
2012,实验室,shí yàn shì,laboratory,ห้องปฏิบัติการ,3,他在实验室做实验。,Tā zài shí yàn shì zuò shí yàn.
2013,实力,shí lì,actual strength; capability; real power,ความสามารถจริง; กำลังที่แท้จริง; ศักยภาพ,3,他有实力赢得比赛。,Tā yǒu shí lì yíng dé bǐ sài.
2014,食品,shí pǐn,food products; food items,ผลิตภัณฑ์อาหาร; สินค้าอาหาร,3,超市有很多食品。,Chāoshì yǒu hěn duō shípǐn.
2015,始终,shǐ zhōng,from beginning to end; all along; always,ตั้งแต่ต้นจนจบ; ตลอดมา; เสมอ,3,我始终喜欢学习。,wǒ shǐ zhōng xǐ huān xué xí.
2016,市场,shì chǎng,market; marketplace (both physical and abstract),ตลาด (ทั้งตลาดจริงและตลาดในเชิงนามธรรม),3,市场里有很多人。,shì chǎng lǐ yǒu hěn duō rén.
2017,世界杯,Shì jiè bēi,World Cup,ฟุตบอลโลก,3,我喜欢看世界杯。,Wǒ xǐhuān kàn shìjièbēi.
2018,事件,shì jiàn,"event, incident, occurrence","เหตุการณ์, เหตุ, กรณี",3,这是一个重要事件。,zhè shì yī gè zhòng yào shì jiàn.
2019,事实,shì shí,fact,ข้อเท็จจริง,3,这是事实，不是故事。,"Zhè shì shì shí, bù shì gù shì."
2020,试验,shì yàn,"experiment, test","การทดลอง, การทดสอบ",3,我们做一个小试验。,wǒ men zuò yī gè xiǎo shì yàn.
2021,试题,shì tí,exam/test questions,ข้อสอบ,3,这些试题不太难。,zhè xiē shì tí bú tài nán.
2022,适合,shì hé,to be suitable for; to fit,เหมาะสมกับ; เหมาะ,3,这件衣服很适合你。,Zhè jiàn yīfu hěn shìhé nǐ.
2023,适用,shì yòng,to be applicable; to apply to,ใช้ได้; เหมาะสม,3,这个规则适用吗？,zhè ge guī zé shì yòng ma?
2024,收费,shōu fèi,to charge a fee,เรียกเก็บเงิน,3,这里停车要收费。,Zhè lǐ tíng chē yào shōu fèi.
2025,收看,shōu kàn,"to watch (TV, programs, broadcasts)","รับชม (รายการโทรทัศน์, โปรแกรม, การออกอากาศ)",3,我们收看新闻。,wǒ men shōu kàn xīn wén.
2026,收听,shōu tīng,"to listen to (broadcasts, radio, etc.)","ฟัง (รายการวิทยุ, โทรทัศน์, ฯลฯ)",3,我每天收听新闻。,wǒ měi tiān shōu tīng xīn wén.
2027,手续,shǒu xù,"procedure, formalities","ขั้นตอน, กระบวนการทางราชการ",3,办手续要带身份证。,bàn shǒu xù yào dài shēn fèn zhèng.
2028,首都,shǒu dū,capital city,เมืองหลวง,3,北京是中国的首都。,Běijīng shì Zhōngguó de shǒudū.
2029,首先,shǒu xiān,"first of all, firstly, in the first place","ก่อนอื่น, ประการแรก",3,首先，我们学习汉字。,"Shǒu xiān, wǒmen xuéxí Hànzì."
2030,书架,shū jià,bookshelf,ชั้นวางหนังสือ,3,书架上有很多书。,Shū jià shàng yǒu hěn duō shū.
2031,输,shū,"to lose, to transport, to donate, to enter (a password)","แพ้, ขนส่ง, บริจาค, ป้อน (รหัสผ่าน)",3,他输了比赛。,tā shū le bǐ sài.
2032,熟人,shú rén,acquaintance; someone you know,คนรู้จัก; คนที่รู้จักกัน,3,他是我的熟人。,Tā shì wǒ de shú rén.
2033,输入,shū rù,"to input, to enter","ป้อนข้อมูล, ใส่ข้อมูล",3,请输入你的名字。,Qǐng shū rù nǐ de míng zi.
2034,属于,shǔ yú,to belong to; to be part of,เป็นของ; เป็นส่วนหนึ่งของ,3,这本书属于我。,Zhè běn shū shǔ yú wǒ.
2035,双方,shuāng fāng,both sides; both parties,ทั้งสองฝ่าย,3,双方都同意这个计划。,shuāng fāng dōu tóng yì zhè ge jì huà.
2036,数量,shù liàng,"quantity, amount","จำนวน, ปริมาณ",3,水果的数量很多。,shuǐ guǒ de shù liàng hěn duō.
2037,双,"Shuāng, shuāng","pair, double, both, even (number)","คู่, สอง, ทั้งสอง, เลขคู่",3,我有一双鞋。,Wǒ yǒu yī shuāng xié.
2038,速度,sù dù,speed; velocity; tempo (in music),ความเร็ว; อัตราความเร็ว; จังหวะ (ในดนตรี),3,汽车的速度很快。,qì chē de sù dù hěn kuài.
2039,随,"Suí, suí",to follow; to comply with; to go along with; to vary according to,ตาม; ปฏิบัติตาม; ไปพร้อมกับ; เปลี่ยนแปลงตาม,3,请随我来。,Qǐng suí wǒ lái.
2040,谈判,tán pàn,to negotiate; negotiation; talks,เจรจา; การเจรจา,3,他们在谈判。,tā men zài tán pàn.
2041,谈话,tán huà,"conversation, talk",การสนทนา,3,我们谈话很开心。,wǒ men tán huà hěn kāi xīn.
2042,所长,"suǒ cháng, suǒ zhǎng","director or head of an institute, bureau, or office",ผู้อำนวยการหรือหัวหน้าสถาบัน สำนักงาน หรือหน่วยงาน,3,他是研究所的所长。,Tā shì yánjiūsuǒ de suǒzhǎng.
2043,谈,"Tán, tán","to talk, to discuss, to chat","พูดคุย, สนทนา, อภิปราย",3,我们谈一谈吧。,Wǒmen tán yī tán ba.
2044,糖,táng,sugar; candy; sweets,น้ำตาล; ขนมหวาน; ลูกอม,3,我喜欢吃糖。,Wǒ xǐhuān chī táng.
2045,汤,"Tāng, shāng, tāng",soup; hot water; broth; decoction,ซุป; น้ำร้อน; น้ำซุป; น้ำต้มยาจีน,3,妈妈做了很好喝的汤。,Māmā zuò le hěn hǎo hē de tāng.
2046,特色,tè sè,distinctive feature or characteristic,ลักษณะเด่นหรือคุณสมบัติเฉพาะ,3,这家饭店很有特色。,Zhè jiā fàn diàn hěn yǒu tè sè.
2047,提前,tí qián,to do something earlier than scheduled; in advance,ทำก่อนกำหนด; ล่วงหน้า,3,我们提前到学校。,wǒ men tí qián dào xué xiào.
2048,体现,tǐ xiàn,"to embody, to reflect, to manifest","แสดงออก, เป็นตัวแทน, สะท้อนให้เห็น",3,他的行动体现了爱。,tā de xíng dòng tǐ xiàn le ài.
2049,天空,tiān kōng,sky,ท้องฟ้า,3,天空很蓝。,Tiān kōng hěn lán.
2050,甜,tián,sweet,หวาน,3,这个苹果很甜。,Zhège píngguǒ hěn tián.
2051,跳高,tiào gāo,high jump (sport),กระโดดสูง (กีฬา),3,他喜欢跳高。,tā xǐ huān tiào gāo.
2052,跳远,tiào yuǎn,long jump,กระโดดไกล (กีฬา),3,他跳远跳得很远。,Tā tiào yuǎn tiào de hěn yuǎn.
2053,跳舞,tiào wǔ,to dance,เต้นรำ,3,她喜欢跳舞。,tā xǐ huān tiào wǔ.
2054,听众,tīng zhòng,audience; listeners,ผู้ฟัง; ผู้ชม,3,听众们都很高兴。,tīng zhòng men dōu hěn gāo xìng.
2055,听力,tīng lì,listening ability; hearing,ความสามารถในการฟัง; การได้ยิน,3,我的听力不太好。,Wǒ de tīnglì bù tài hǎo.
2056,铁路,tiě lù,"railway, railroad",ทางรถไฟ,3,我们坐火车去北京。,wǒ men zuò huǒ chē qù běi jīng.
2057,停止,tíng zhǐ,to stop; to cease; to halt,หยุด; เลิก; พัก,3,请停止说话。,qǐng tíng zhǐ shuō huà.
2058,同意,tóng yì,to agree; to consent; to approve,เห็นด้วย; ตกลง; ยินยอม,3,我同意你的意见。,wǒ tóng yì nǐ de yì jiàn.
2059,痛苦,tòng kǔ,"pain, suffering, agony","ความเจ็บปวด, ความทุกข์ทรมาน",3,他感到非常痛苦。,tā gǎndào fēicháng tòngkǔ.
2060,突出,tū chū,prominent; outstanding; to stand out; to protrude,โดดเด่น; ยอดเยี่ยม; นูนออกมา,3,他的成绩很突出。,tā de chéngjì hěn tūchū.
2061,图,tú,"picture, diagram, drawing, chart, map","ภาพ, แผนภาพ, แผนผัง, แผนที่",3,我看这张图。,Wǒ kàn zhè zhāng tú.
2062,图画,tú huà,"picture, drawing, painting","ภาพวาด, ภาพเขียน, รูปภาพ",3,我喜欢看图画书。,Wǒ xǐhuan kàn túhuà shū.
2063,突然,tū rán,"sudden, abrupt, unexpected","กะทันหัน, ทันทีทันใด, ไม่คาดคิด",3,他突然回家了。,Tā tūrán huí jiā le.
2064,土,"Tǔ, tǔ","earth, soil, clay, local, indigenous, crude, unsophisticated","ดิน, ดินเหนียว, พื้นถิ่น, ท้องถิ่น, หยาบ, ไม่ประณีต",3,这块土很松软。,Zhè kuài tǔ hěn sōngruǎn.
2065,团结,tuán jié,to unite; unity; solidarity,สามัคคี; ความสามัคคี; ความเป็นน้ำหนึ่งใจเดียวกัน,3,我们团结在一起。,wǒ men tuán jié zài yī qǐ.
2066,团体,tuán tǐ,"group, organization, team","กลุ่ม, องค์กร, ทีม",3,我们是一个团体。,wǒ men shì yī gè tuán tǐ.
2067,推动,tuī dòng,"to push forward; to promote; to drive (development, progress, etc.)","ผลักดัน; ส่งเสริม; ขับเคลื่อน (การพัฒนา, ความก้าวหน้า, ฯลฯ)",3,这个计划推动经济发展。,Zhège jìhuà tuī dòng jīngjì fāzhǎn.
2068,退,tuì,to move back; to withdraw; to retreat,ถอยหลัง; ถอนตัว; ถอย,3,他退后一步。,tā tuì hòu yī bù.
2069,退出,tuì chū,"to quit, to exit, to withdraw, to log out","ออก, ถอนตัว, เลิก, ออกจากระบบ",3,他退出了游戏。,tā tuì chū le yóu xì.
2070,退休,tuì xiū,to retire (from work),เกษียณอายุ (จากงาน),3,我爸爸明年退休。,wǒ bàba míngnián tuìxiū.
2071,推开,tuī kāi,"to push open (e.g., a door or gate); to push away; to reject or decline",ผลักเปิด (เช่น ประตูหรือประตูรั้ว); ผลักออก; ปฏิเสธหรือไม่ยอมรับ,3,他推开门出去了。,tā tuī kāi mén chū qù le.
2072,完美,wán měi,perfect,สมบูรณ์แบบ,3,这个计划很完美。,Zhège jìhuà hěn wánměi.
